name,url,links,phone,categories,address,location,rating,rating_count,email,facebook
Old Plantation Barbecue,https://www.yellowpages.com/chattanooga-tn/mip/old-plantation-barbecue-2491413,"{'Website': 'http://www.oldplantation.dinehere.us', 'View Menu': '/chattanooga-tn/mip/old-plantation-barbecue-2491413#open-menu'}",(423) 624-8105,"['Barbecue Restaurants', 'Take Out Restaurants', 'Caterers']",1515 Dodson Ave,"Chattanooga, TN 37406",five,1,yp-logo@2x.png,
Hillbilly Willy's Bar-B-Que,https://www.yellowpages.com/chattanooga-tn/mip/hillbilly-willys-bar-b-que-4713992,{'Website': 'http://www.hillbillywillys.com'},(423) 821-2272,"['Barbecue Restaurants', 'Family Style Restaurants', 'Caterers']",115browns Browns Ferry Rd,"Chattanooga, TN 37419",four,4,hillbillywillysbarbq@comcast.net,
Shuford's Smokehouse,https://www.yellowpages.com/chattanooga-tn/mip/shufords-smokehouse-13116956,"{'Website': 'http://www.shufordsbbq.com', 'View Menu': '/chattanooga-tn/mip/shufords-smokehouse-13116956#open-menu'}",(423) 267-0080,"['Barbecue Restaurants', 'Caterers', 'Restaurants']",924 Signal Mountain Rd,"Chattanooga, TN 37405",three,3,jeff@shufordsbbq.com,
Nooga Q Smokehouse Grill,https://www.yellowpages.com/chattanooga-tn/mip/nooga-q-smokehouse-grill-5404178,"{'Website': 'http://www.nooga-q.com', 'View Menu': '/chattanooga-tn/mip/nooga-q-smokehouse-grill-5404178#open-menu'}",(423) 752-1935,"['Barbecue Restaurants', 'American Restaurants', 'Caterers']",301 Signal Mountain Rd,"Chattanooga, TN 37405",,,yp-logo@2x.png,
Rib & Loin,https://www.yellowpages.com/chattanooga-tn/mip/rib-loin-4300650,"{'Website': 'http://www.ribandloin.com', 'View Menu': '/chattanooga-tn/mip/rib-loin-4300650#open-menu'}",(423) 499-6465,"['Barbecue Restaurants', 'Restaurant Menus', 'Caterers']",5946 Brainerd Rd,"Chattanooga, TN 37421",four,3,Catering@RibandLoin.com,
Sticky Fingers Smokehouse Chattanooga,https://www.yellowpages.com/chattanooga-tn/mip/sticky-fingers-smokehouse-chattanooga-458117512,"{'Website': 'http://www.stickyfingers.com', 'View Menu': '/chattanooga-tn/mip/sticky-fingers-smokehouse-chattanooga-458117512#open-menu'}",(423) 265-7427,"['Barbecue Restaurants', 'Steak Houses', 'Caterers']",420 Broad St,"Chattanooga, TN 37402",,,chattanoogacatering@stickyfingers.com,
Little Billy's BBQ,https://www.yellowpages.com/chattanooga-tn/mip/little-billys-bbq-478362154,{},(423) 321-8407,"['Barbecue Restaurants', 'Restaurants']",3147 Broad St,"Chattanooga, TN 37408",,,yp-logo@2x.png,
Sportsmans BBQ,https://www.yellowpages.com/chattanooga-tn/mip/sportsmans-bbq-524225868,{},(423) 265-1680,"['Barbecue Restaurants', 'Restaurants']",3874 Hixson Pike,"Chattanooga, TN 37415",five,4,yp-logo@2x.png,
Big Jeff's Barbeque,https://www.yellowpages.com/chattanooga-tn/mip/big-jeffs-barbeque-512561397,{},(423) 771-7814,"['Barbecue Restaurants', 'Restaurants']",4272 Bonny Oaks Dr,"Chattanooga, TN 37406",five,1,jblbjb44@yahoo.com,
Broad Street Grille,https://www.yellowpages.com/chattanooga-tn/mip/broad-street-grille-9191966,"{'Website': 'http://www.chattanooganhotel.com', 'View Menu': '/chattanooga-tn/mip/broad-street-grille-9191966#open-menu'}",(423) 424-3700,"['Barbecue Restaurants', 'Bar & Grills', 'Restaurants']",1201 Broad St,"Chattanooga, TN 37402",one,3,cheryl@blissfulwed.com,
Hickory Pit Bar-B-Que,https://www.yellowpages.com/chattanooga-tn/mip/hickory-pit-bar-b-que-8454787,"{'Website': 'http://www.hickorypitbarbque.com', 'View Menu': '/chattanooga-tn/mip/hickory-pit-bar-b-que-8454787#open-menu'}",(423) 894-1217,"['Barbecue Restaurants', 'American Restaurants', 'Sandwich Shops']",5611 Ringgold Rd,"Chattanooga, TN 37412",two,1,mike@hickorypitbarbque.com,
Edley's Bar-B-Que,https://www.yellowpages.com/chattanooga-tn/mip/edleys-bar-b-que-541797710,"{'Website': 'http://www.edleysbbq.com', 'View Menu': '/chattanooga-tn/mip/edleys-bar-b-que-541797710#open-menu'}",(423) 498-2772,"['Barbecue Restaurants', 'Cocktail Lounges', 'Caterers']",205 Manufacturers Rd,"Chattanooga, TN 37405",,,yp-logo@2x.png,
Boo-Coes Sports Bar & Grill Chattanooga,https://www.yellowpages.com/chattanooga-tn/mip/boo-coes-sports-bar-grill-chattanooga-466511282,{'Website': 'http://bcsportsbar.com'},(423) 541-2494,"['Barbecue Restaurants', 'American Restaurants', 'Seafood Restaurants']",2510 E Main St,"Chattanooga, TN 37404",,,yp-logo@2x.png,
Buddy's bar-b-q - Hixson,https://www.yellowpages.com/chattanooga-tn/mip/buddys-bar-b-q-hixson-562113909,"{'Website': 'http://www.buddysbbqhixson.com', 'View Menu': '/chattanooga-tn/mip/buddys-bar-b-q-hixson-562113909#open-menu'}",(423) 206-4999,"['Barbecue Restaurants', 'Take Out Restaurants', 'Restaurants']",568 Northgate Mall Dr Ste 101,"Chattanooga, TN 37415",,,yp-logo@2x.png,
Chatter Box Cafe,https://www.yellowpages.com/chattanooga-tn/mip/chatter-box-cafe-564770000,{'Website': 'https://www.chatterbox423.com/about-us'},(423) 322-4609,"['Barbecue Restaurants', 'Restaurants']",6801 Shallowford Rd,"Chattanooga, TN 37421",,,yp-logo@2x.png,
Texas Roadhouse,https://www.yellowpages.com/chattanooga-tn/mip/texas-roadhouse-575881815,"{'Website': 'https://www.texasroadhouse.com/locations/tennessee/chattanooga?utm_source=listing&utm_medium=search', 'View Menu': '/chattanooga-tn/mip/texas-roadhouse-575881815#open-menu'}",(423) 899-8293,"['Barbecue Restaurants', 'American Restaurants', 'Steak Houses']",2020 Hamilton Place Blvd,"Chattanooga, TN 37421",,,store_chattanooga@texasroadhouse.com,
Jim N Nick's,https://www.yellowpages.com/chattanooga-tn/mip/jim-n-nicks-546447685,{'Website': 'https://jimnnicks.com'},(423) 498-6969,"['Barbecue Restaurants', 'Restaurants', 'Caterers']",2040 Hamilton Place Blvd Ste 150,"Chattanooga, TN 37421",,,yp-logo@2x.png,
Sportsmans BBQ,https://www.yellowpages.com/chattanooga-tn/mip/sportsmans-bbq-560236546,{},(423) 265-1680,"['Barbecue Restaurants', 'Restaurants']",300 W Martin Luther King Blvd,"Chattanooga, TN 37402",,,yp-logo@2x.png,
Buck's Pit Barbeque,https://www.yellowpages.com/chattanooga-tn/mip/bucks-pit-barbeque-560426900,{},(423) 267-1390,"['Barbecue Restaurants', 'Restaurants']",537 Market St Ste 301,"Chattanooga, TN 37402",,,yp-logo@2x.png,
Good Eats Bar-B-Que,https://www.yellowpages.com/chattanooga-tn/mip/good-eats-bar-b-que-567702203,{},(423) 497-8669,['Barbecue Restaurants'],1817 Market St,"Chattanooga, TN 37408",,,yp-logo@2x.png,
Sweeney's Pit Bar-B-Que & Catering,https://www.yellowpages.com/chattanooga-tn/mip/sweeneys-pit-bar-b-que-catering-3233429,{},(423) 267-2009,"['Barbecue Restaurants', 'Caterers', 'Restaurants']",3147 Broad St,"Chattanooga, TN 37408",,,yp-logo@2x.png,
Charlies BBQ and Bakery,https://www.yellowpages.com/chattanooga-tn/mip/charlies-bbq-and-bakery-546591560,"{'Website': 'http://www.facebook.com/CHARLIESCHATTANOOGA', 'View Menu': '/chattanooga-tn/mip/charlies-bbq-and-bakery-546591560#open-menu'}",(423) 541-1500,"['Barbecue Restaurants', 'Restaurants']",2309 E Main St,"Chattanooga, TN 37404",,,yp-logo@2x.png,http://www.facebook.com/CHARLIESCHATTANOOGA
Barque BBQ,https://www.yellowpages.com/chattanooga-tn/mip/barque-bbq-566739745,{'Website': 'http://barque.is'},(423) 206-9750,"['Barbecue Restaurants', 'Restaurants']",2309 E Main St,"Chattanooga, TN 37404",,,yp-logo@2x.png,
Fairbanks Mountain Ribs,https://www.yellowpages.com/chattanooga-tn/mip/fairbanks-mountain-ribs-495580900,{},(423) 485-3370,"['Barbecue Restaurants', 'Restaurants']",3701 Alton Park Blvd,"Chattanooga, TN 37410",,,yp-logo@2x.png,
Sunset BBQ,https://www.yellowpages.com/chattanooga-tn/mip/sunset-bbq-13621679,{'Website': 'http://www.sunsetbbq-chatt.com'},(423) 629-9240,"['Barbecue Restaurants', 'Take Out Restaurants', 'Restaurants']",964 Dodson Ave,"Chattanooga, TN 37406",,,qmaster1@aol.com,
Mango's Island Bar and Grill,https://www.yellowpages.com/chattanooga-tn/mip/mangos-island-bar-and-grill-544252794,{},(423) 498-5040,"['Barbecue Restaurants', 'Bars', 'Bar & Grills']",1622 Dodds Ave,"Chattanooga, TN 37404",,,yp-logo@2x.png,
Choo Choo BBQ,https://www.yellowpages.com/chattanooga-tn/mip/choo-choo-bbq-535058631,{},(423) 622-1802,"['Barbecue Restaurants', 'Restaurants']",826 Appling St,"Chattanooga, TN 37406",,,yp-logo@2x.png,
Fifty Yard Line Sports Bar And Grill,https://www.yellowpages.com/chattanooga-tn/mip/fifty-yard-line-sports-bar-and-grill-530897743,{},(423) 682-7500,"['Barbecue Restaurants', 'Bar & Grills', 'Restaurants']",4010 Rossville Blvd,"Chattanooga, TN 37407",,,yp-logo@2x.png,
Legendary Master Blaster BBQ,https://www.yellowpages.com/chattanooga-tn/mip/legendary-master-blaster-bbq-483263855,{},(423) 355-5439,"['Barbecue Restaurants', 'Restaurants']",3220 Wilcox Blvd,"Chattanooga, TN 37411",,,yp-logo@2x.png,
My BBQ Place,https://www.yellowpages.com/chattanooga-tn/mip/my-bbq-place-538565272,{},(423) 710-1557,"['Barbecue Restaurants', 'Restaurants']",613 Tunnel Blvd,"Chattanooga, TN 37411",,,yp-logo@2x.png,
Buddy's bar-b-q - Hixson,https://www.yellowpages.com/chattanooga-tn/mip/buddys-bar-b-q-hixson-562795853,{'Website': 'http://www.buddysbbqhixson.com'},(423) 206-4999,"['Barbecue Restaurants', 'Restaurants']",568 Northgate Mall Dr Ste 101,"Chattanooga, TN 37415",,,yp-logo@2x.png,
Shane's Rib Shack,https://www.yellowpages.com/chattanooga-tn/mip/shanes-rib-shack-1604027,{},(423) 877-0771,"['Barbecue Restaurants', 'Restaurants', 'Take Out Restaurants']",250 Northgate Mall Dr,"Chattanooga, TN 37415",,,yp-logo@2x.png,
Forker's BBQ,https://www.yellowpages.com/chattanooga-tn/mip/forkers-bbq-552711785,{'View Menu': '/chattanooga-tn/mip/forkers-bbq-552711785#open-menu'},(423) 386-5615,"['Barbecue Restaurants', 'Restaurants']",4767 Highway 58,"Chattanooga, TN 37416",,,yp-logo@2x.png,
